#           k/h    P           
    0.10000E-03    0.50899E+03
    0.10202E-03    0.51885E+03
    0.10408E-03    0.52891E+03
    0.10618E-03    0.53915E+03
    0.10833E-03    0.54960E+03
    0.11052E-03    0.56024E+03
    0.11275E-03    0.57110E+03
    0.11503E-03    0.58216E+03
    0.11735E-03    0.59344E+03
    0.11972E-03    0.60493E+03
    0.12214E-03    0.61665E+03
    0.12461E-03    0.62859E+03
    0.12712E-03    0.64077E+03
    0.12969E-03    0.65318E+03
    0.13231E-03    0.66582E+03
    0.13499E-03    0.67872E+03
    0.13771E-03    0.69186E+03
    0.14049E-03    0.70526E+03
    0.14333E-03    0.71891E+03
    0.14623E-03    0.73283E+03
    0.14918E-03    0.74702E+03
    0.15220E-03    0.76148E+03
    0.15527E-03    0.77623E+03
    0.15841E-03    0.79125E+03
    0.16161E-03    0.80657E+03
    0.16487E-03    0.82218E+03
    0.16820E-03    0.83809E+03
    0.17160E-03    0.85431E+03
    0.17507E-03    0.87084E+03
    0.17860E-03    0.88769E+03
    0.18221E-03    0.90487E+03
    0.18589E-03    0.92238E+03
    0.18965E-03    0.94022E+03
    0.19348E-03    0.95841E+03
    0.19739E-03    0.97695E+03
    0.20138E-03    0.99584E+03
    0.20544E-03    0.10151E+04
    0.20959E-03    0.10347E+04
    0.21383E-03    0.10547E+04
    0.21815E-03    0.10751E+04
    0.22255E-03    0.10959E+04
    0.22705E-03    0.11171E+04
    0.23164E-03    0.11387E+04
    0.23632E-03    0.11607E+04
    0.24109E-03    0.11831E+04
    0.24596E-03    0.12060E+04
    0.25093E-03    0.12293E+04
    0.25600E-03    0.12530E+04
    0.26117E-03    0.12772E+04
    0.26645E-03    0.13019E+04
    0.27183E-03    0.13270E+04
    0.27732E-03    0.13526E+04
    0.28292E-03    0.13787E+04
    0.28864E-03    0.14053E+04
    0.29447E-03    0.14324E+04
    0.30042E-03    0.14601E+04
    0.30649E-03    0.14882E+04
    0.31268E-03    0.15169E+04
    0.31899E-03    0.15462E+04
    0.32544E-03    0.15760E+04
    0.33201E-03    0.16063E+04
    0.33872E-03    0.16373E+04
    0.34556E-03    0.16688E+04
    0.35254E-03    0.17010E+04
    0.35966E-03    0.17337E+04
    0.36693E-03    0.17671E+04
    0.37434E-03    0.18011E+04
    0.38190E-03    0.18357E+04
    0.38962E-03    0.18710E+04
    0.39749E-03    0.19070E+04
    0.40552E-03    0.19436E+04
    0.41371E-03    0.19810E+04
    0.42207E-03    0.20190E+04
    0.43060E-03    0.20578E+04
    0.43929E-03    0.20972E+04
    0.44817E-03    0.21375E+04
    0.45722E-03    0.21785E+04
    0.46646E-03    0.22202E+04
    0.47588E-03    0.22628E+04
    0.48550E-03    0.23061E+04
    0.49530E-03    0.23502E+04
    0.50531E-03    0.23952E+04
    0.51552E-03    0.24410E+04
    0.52593E-03    0.24877E+04
    0.53656E-03    0.25352E+04
    0.54739E-03    0.25836E+04
    0.55845E-03    0.26330E+04
    0.56973E-03    0.26832E+04
    0.58124E-03    0.27343E+04
    0.59299E-03    0.27864E+04
    0.60496E-03    0.28395E+04
    0.61719E-03    0.28936E+04
    0.62965E-03    0.29486E+04
    0.64237E-03    0.30046E+04
    0.65535E-03    0.30617E+04
    0.66859E-03    0.31198E+04
    0.68210E-03    0.31790E+04
    0.69588E-03    0.32393E+04
    0.70993E-03    0.33006E+04
    0.72427E-03    0.33631E+04
    0.73891E-03    0.34267E+04
    0.75383E-03    0.34914E+04
    0.76906E-03    0.35574E+04
    0.78460E-03    0.36245E+04
    0.80045E-03    0.36928E+04
    0.81662E-03    0.37623E+04
    0.83311E-03    0.38331E+04
    0.84994E-03    0.39051E+04
